2025-06-10 16:23:16,721 - INFO - [4H] PI-USDT-SWAP 2025-05-18 12:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:18,683 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:18,683 - INFO - [4H] PI-USDT-SWAP 2025-05-18 16:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:21,032 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:21,032 - INFO - [4H] PI-USDT-SWAP 2025-05-18 20:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:22,354 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:22,355 - INFO - [4H] PI-USDT-SWAP 2025-05-19 00:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:26,733 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:26,733 - INFO - [4H] PI-USDT-SWAP 2025-05-19 04:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:28,531 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:28,531 - INFO - [4H] PI-USDT-SWAP 2025-05-19 08:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:29,836 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:29,836 - INFO - [4H] PI-USDT-SWAP 2025-05-19 12:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:31,127 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:31,131 - INFO - [4H] PI-USDT-SWAP 2025-05-19 16:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:35,117 - INFO - [4H] 识别到趋势: downtrend, OB: {'top': 0.8893, 'bottom': 0.8667}
2025-06-10 16:23:35,118 - INFO - [4H] PI-USDT-SWAP 2025-05-19 20:00 整 趋势=downtrend, OB={'top': 0.8893, 'bottom': 0.8667}
